Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,polarity,sentiment
Updates PH,@NDFUpdatesPH,2023-03-14T16:23:02.000Z,"transport unions piston, manibela and other jeepney operators’ and drivers’ orgs led about 100k drivers in major cities to protest the marcos govt’s #jeepneyphaseout program which will replace jeepneys with the minibus that drivers can't possibly afford.",,1,4,1,positive
Abante TeleTabloid,@ATeletabloid,2023-03-14T02:51:30.000Z,"mas mura at gawang pinoy na modernized version ng jeepneys, ibinibida ngayon ng isang transport group sa ltfrb.tutukan ang iba pang balita: https://bit.ly/3yazkya#abanteteletabloid #abantenews #newsph #puvmodernization #jeepneyphaseout #ltfrb",,3,1,1,positive
Pusang Gala,@pusanggala007,2023-03-13T00:00:44.000Z,"kung gusto ninyo ng progreso bitiwan n'yo ""sentimental value"". #jeepneyphaseout #jeepneymodernization #bbm",15.0,42,162,1,positive
SimpleRule,@greenandleafyme,2023-03-12T23:46:51.000Z,what should we do if we can't change the ugly look of our roads because our government is incapable of putting policies into action?#jeepneyphaseout,,,,0,neutral
jaxx3,@syazex3,2023-03-12T14:51:40.000Z,replying to @idolnamnam and @km_jessica_soho,1.0,,,0,neutral
republicasia,@republicasiadot,2023-03-12T09:28:14.000Z,malaki na ang p700 sa apat na balikan kada araw. kaya di maubos maisip ni tatay jesus paano sya makakabili ng p2m jeep para hindi mawalan ng kabuhayan at magutom ang 3 anak. | #jeepneyphaseout #news #newsph #socialnewsph #republicasianews #republicasia,,,,-2,negative
jane dondiego,@DondiegoJane,2023-03-12T06:20:59.000Z,jeep ang pinaka mabilis para sa mga nag mamadali wala talaga makaka talo sa transportaion ng jeep no #jeepneyphaseout,,,,2,positive
Lian,@Linvnrcon,2023-03-12T03:19:34.000Z,pwede bang si bea nalang ipa phaseout wag na ang jeepney naiirita kasi ako #jeepneyphaseout (2),,,,-1,negative
Chiridikongkoylak,@hackdugbans,2023-03-11T14:40:07.000Z,"the irony of pinoys: atat sa improvement pero galit sa proseso. do not put forward any propositions like jeepney modernization again. we are allergic to long-term solutions as it coexist with inconvenience. ganto na lang po ang ph, wag na baguhin. #jeepneyphaseout",3.0,1,1,1,positive
Abante TeleTabloid,@ATeletabloid,2023-03-11T11:27:00.000Z,ipinagmalaki ng dalawang transport group na tagumpay ang kanilang jeepney strike nitong lunes dahil maraming driver ang hindi pumasada upang iprotesta ang modernization program ng gobyerno. https://abante.com.ph/2023/03/06/metro-manila-pilay-sa-jeepney-strike/…#abanteteletabloid #abantenews #tigilpasada #jeepneyphaseout,,2,2,0,neutral
Abante TeleTabloid,@ATeletabloid,2023-03-11T10:40:00.000Z,#icymi: ipinagmalaki ng dalawang transport group na tagumpay ang kanilang jeepney strike nitong lunes dahil maraming driver ang hindi pumasada upang iprotesta ang modernization program ng gobyerno. https://abante.com.ph/2023/03/06/metro-manila-pilay-sa-jeepney-strike/…#abanteteletabloid #tigilpasada #jeepneyphaseout,,2,1,0,neutral
.,@saddestlewis,2023-03-11T06:48:52.000Z,"argue with me, bakit ayaw nyo mag innovate? why say no to #jeepneyphaseout ?? okay lang sa inyo na yung mga jeepney drivers naten ma stuck sa mababang kita? when the government will hire them as official drivers??",1.0,,1,-3,negative
Ac,@EynjeeLovesU,2023-03-10T13:12:01.000Z,"kung tatanggalan sila ng karapatan, paano na ang kanilang kinabukasan?#notojeepneyphaseout #jeepneyphaseout",,,,1,positive
ㄹㅈ Woodz in MNL D-3,@eamazzir,2023-03-10T12:12:29.000Z,wayv says #notojeepneyphaseout !!!!!!!!! #jeepneyphaseout #wayv #wayv_phantom_in_manila #weishenv #웨이션브이 #wayv #kun #ten #winwin #xiaojun #hendery #yangyang,,1,3,0,neutral
Abante Radyo Tabloidista,@abante_radyo,2023-03-10T03:30:00.000Z,tiniyak ito sa pagdinig ng house committee on transportation nitong huwebes.https://tonite.abante.com.ph/2023/03/09/dotr-ltfrb-walang-puwersahan-sa-jeepney-phaseout/…#tunaynatabloidista #tonitenews#jeepneyphaseout,,,,0,neutral
Hison,@Hison1216,2023-03-10T03:01:28.000Z,#jeepneyphaseout #notojeepneyphaseout #notopuvphaseout #notojeepphaseout stories....,,,,0,neutral
RT-TCZ,@rt_tcz,2023-03-10T02:00:01.000Z,cool girl #rttcz #jeepneyphaseout #jeeplovers #jeeplife #jeepwrangler #jeepparts,,,1,1,positive
DOST PCIEERD,@dostpcieerd,2023-03-09T23:43:51.000Z,"through electric jeepney and lpg-powered jeepney, dost-pcieerd offers alternatives for puv modernization. read more at https://pcieerd.dost.gov.ph/news/latest-news/513-dost-touts-e-jeep-lpg-powered-jeeps-for-puj-modernization… #pujmodernization #jeepneyphaseout #ejeep #innovation",,,,0,neutral
Levi,@into_yun,2023-03-09T19:29:35.000Z,replying to @fiiveee_,1.0,,,0,neutral
Paula Saraza,@PaulaSaraza_,2023-03-09T15:23:11.000Z,"“there might be a tendency, they’ll double the fare”filcans share thoughts about the #jeepneyphaseout in  - although in favour of modernizing the traditional puvs, some say there needs to be a proper consultation with transport groups and commuters/passengers. @omnifilipino",1.0,2,2,3,positive
EverdoneDeal,@EverdoneDeal,2023-03-09T14:46:20.000Z,#jeepneyphaseout #jeepney #bbm #pasada,,,,0,neutral
Abante Radyo Tabloidista,@abante_radyo,2023-03-08T23:30:00.000Z,mga tsuper tamang-duda kay bautista sa jeepney phaseouthttps://tonite.abante.com.ph/2023/03/09/mga-tsuper-tamang-duda-kay-bautista-sa-jeepney-phaseout/…#tunaynatabloidista  #tonitenews#jeepneyphaseout,,,,0,neutral
BULGAR,@bulgarofficial,2023-03-08T23:20:20.000Z,ano’ng sey mo sa pahayag ni p-bbm na tuloy ang jeepney phaseout at siya ang bahala sa mga tsuper?#hugotmosharemo #bulgaronline #isyuatusapin #bulgar #jeepneyphaseout #puvmodernization,,1,1,-2,negative
Wietzell M,@itswitzu,2023-03-08T22:46:56.000Z,grabe ung pangyayari sa #jeep pero palaban ang ate nyo traumatic experience riding #jeepney but the author is a #warrior https://peakd.com/hive-199493/@artgirl/holdap-sa-jeep-parang-eksena…#philippines #hiveph #hive #jeepneyphaseout,2.0,2,7,1,positive
dirch,@stompnoise,2023-03-08T17:31:09.000Z,tuwlng may hinaing mga drayber laging ginagawang hostage mga commuter tapos gusto nyo makiisa? #jeepneyphaseout,,,1,1,positive
śtōrm,@stor_mee,2023-03-08T15:14:48.000Z,"i agree with the #jeepneyphaseout but with conditions that benefit the environment, safety of commuters, livelihood of drivers, and traditional imagery of the jeepney.",1.0,,3,1,positive
margot_feliz,@margot_dungca,2023-03-08T14:12:59.000Z,#jeep #jeepneyphaseout #transportstrike,,,2,0,neutral
a,@missdotdae,2023-03-08T13:07:25.000Z,"dapat yung ni-fefeature ng @km_jessica_soho ay ang kasalukuyang isyu ng mga tsuper tungkol sa #jeepneyphaseout o kaya ang recent political climate ng pilipinas, di yung photocards ng mga kpop stans. you have a massive reach towards local viewers, u should maximize it properly.",,1,4,4,positive
Jhen Mayano,@jennifer_mayano,2023-03-08T10:53:10.000Z,no to #jeepneyphaseout,,,,0,neutral
Glenn Sakristan 8262@my2cents.io,Glenn Sakristan 8262@my2cents.io,2023-03-08T09:06:17.000Z,how’s the puv transportation going on? are there jeeps around? #philippines #puvmodernization #jeepneyphaseout #jeepney,,,,0,neutral
`,@ivycxc,2023-03-08T07:23:47.000Z,"hindi kaya ng lahat ng jeepney drivers bayaran ang modernized jeep. ‘di rin nila kaya ng hulug-hulugan since may responsibility rin naman sila sa bahay. i-subsidize sana ng govt mga modern jeeps, hay nako. #jeepneyphaseout",,,2,2,positive
JC,@Jcarlocabaltera,2023-03-08T06:22:53.000Z,grabe yung prof namin sobrang emotional nya about #jeepneyphaseout anlala kasi naiyak talaga kasi si sir sa nangyayari kasi former jeepney driver kaya no no talaga #notojeepneyphaseout,,1,1,3,positive
BULGAR,@bulgarofficial,2023-03-08T05:43:15.000Z,"itataas sa p260,000 ang halaga ng subsidiya na ibibigay ng gobyerno para sa mga tsuper ng pampasaherong sasakyan upang makabili ng e-jeepney bahagi ng public utility vehicle modernization program.#jeepneymodernization #puvmodernization #jeepneyphaseout",,,,0,neutral
BULGAR,@bulgarofficial,2023-03-08T02:34:32.000Z,ano’ng sey mo na itinaas sa p260k ang ayuda sa tsuper para makabili ng modern jeep na p1.4m-p3m ang presyo?#hugotmosharemo #bulgaronline #isyuatusapin #bulgar #puvmodernization #jeepneymodernization #jeepneyphaseout,,,,0,neutral
BULGAR,@bulgarofficial,2023-03-07T22:45:24.000Z,"just in: inanunsiyo ng transport group na manibela ang pagtatapos ng kanilang transport strike nang makipag-usap ang grupo sa malacañang kahapon, martes.#puvmodernization #publictransportation #jeepneyphaseout http://bulgaronline.com",,,,-2,negative
OTEP,@joroquid89,2023-03-07T21:42:44.000Z,tangina ahahahaha #notojeepphaseout  #jeepneyphaseout,,,,0,neutral
Pusang Gala,@pusanggala007,2023-03-07T19:15:04.000Z,mordernization? #jeepneyphaseout #jeepneymodernization  read here:  https://facebook.com/photo/?fbid=194621783195442&set=a.155919307065690…,,14,56,0,neutral
dicccc,@_kiwi2,2023-03-07T18:05:06.000Z,im 12 but im 17 yrs pregnant #blessing #bongbongphaseout#jeepneyphaseout #jeepneymodernization,,,2,0,neutral
rhea go 王清清,@xandz34,2023-03-07T17:13:05.000Z,"#jeepneystrike has its pros and cons. hope that both people and the government would listen to each other, weigh out the advantage and disadvantages of the proposals.#jeepneymodernization yesbut #jeepneyphaseout nomaybe, #jeepneywithatwist is much better than total phase out",,,,2,positive
dirch,@stompnoise,2023-03-07T15:43:29.000Z,jeepney ang public transport na basa ka pag umulan at tinamad ang driver mag set up ng trapal #jeepneyphaseout,,,,0,neutral
Van⁷ ✿,@vanessaleuterio,2023-03-07T14:42:12.000Z,donate instead your money to our jeepney drivers that are suffering to the #jeepneyphaseout #notojeepneyphaseout  https://docs.google.com/document/d/1f12bg5qqzgqrnie-kemslsj0yl6yjloe0lqcc6qa32g/mobilebasic…,,,,0,neutral
Event Horizon bitchhh (3am Edition),@IzahFeeling,2023-03-07T12:46:35.000Z,"it would have been a great sight to see, if these same toxic christians cried during the #jeepneyphaseout",,,,2,positive
mikki,@californiamikki,2023-03-07T11:50:30.000Z,replying to @mian_gmz,1.0,,,0,neutral
Kristo,@marcboni,2023-03-07T10:47:02.000Z,china moved from bicycles to electric vehicles; philippines is stuck with heavy diesel jeeps that are unsafe and that cause cancer #jeepneyphaseout,,,,-2,negative
Kristo,@marcboni,2023-03-07T10:46:57.000Z,replying to @andymancy,,,,0,neutral
Ateneo Human Rights Center,@ahrctweets,2023-03-07T10:26:06.000Z,nagsasagawa ngayon ng malawakang transport strike ang mga driver at operator ng jeep para ipanawagan ang pagtutol sa #jeepneyphaseout na bahagi ng puv modernization program ng gobyerno. anu-ano ba ang mga tunay na dahilan kung bakit tutol sila sa planong ito ng gobyerno? basahin:,,12,17,-3,negative
Ana,@marshytweets,2023-03-07T09:29:45.000Z,"“jeepney drivers don’t earn 500 php a day lang, they can earn as much as 6,000 a day”??? how true??#jeepneymodernization #jeepneyphaseout #nalokaakokayaccla ",,,,2,positive
ria⑰,@jeonghannielife,2023-03-07T06:49:24.000Z,"sumama siya sa #jeepneyphaseout ng pinsan niya, proud of you paps",,,3,-1,negative
8List.ph,@8ListPH,2023-03-07T06:00:00.000Z,share with us your thoughts about this current issue.  #jeepneyphaseout,,,2,-1,negative
Xavier,@Xaviersilog,2023-03-07T05:23:11.000Z,jeepney phaseout is a good project. but the proposed implementation is not timely and humane. #jeepneyphaseout,,,,2,positive
Solace,@dreamincarts,2023-03-07T04:40:52.000Z,"i think i made a conclusions;joshua tiongco kmjs magnanakaw ng photocards  gobyernoanyways,no to #jeepneyphaseout ",,,5,1,positive
NOT'IVHAN,@notivhanyess,2023-03-07T04:39:15.000Z,:#notopuvphaseout #jeepneyphaseout,1.0,,1,0,neutral
Jasnoza,@Jasnoza,2023-03-07T03:48:18.000Z,"tama!!!  tama nga sinabi ni vp sara ""communist-inspired"" #jeepneymodernization #jeepneyphaseout ctto:",,,1,2,positive
BBM x SARA,@DuterteMarcos_,2023-03-07T03:29:53.000Z,#jeepneyphaseout #jeepneystrike,,,2,0,neutral
Cannapinoy,@cannapinoy,2023-03-07T03:04:55.000Z,"#jeepneyphaseout must be done as soon as possible. these unsafe machines do not deserve to be on the road. public transportation should be buses and trains, not these death on wheels. itll be hard for filipinos to move on from jeepneys since it has been there forever.",,,,-2,negative
gisellemae,@gsllmvllrnt,2023-03-07T02:34:30.000Z,i literally cried yesterday ‘bout the #jeepneyphaseout issue. ,,,,-1,negative
K!M,@k_i_mnop,2023-03-07T02:33:01.000Z,"jeep pala yun, akala ko bus iniba lang ang mga upuan#jeepneyphaseout #jeepneymodernization",,,,-1,negative
Abante TeleTabloid,@ATeletabloid,2023-03-07T02:15:00.000Z,umarangkada rin kahapon ang pa-libreng sakay ng lgus at mga ahensya ng gobyerno upang saklolohan ang commuters ngayong nag-umpisa na ang isang linggo tigil-pasada ng transport groups.  tutukan: https://bit.ly/3suka06 #newsph #jeepneyphaseout #puvmodernization #librengsakay,,3,3,0,neutral
Abante TeleTabloid,@ATeletabloid,2023-03-07T01:58:18.000Z,sinimulan na kahapon ang 1 linggong tigil-pasada ng transport groups na layunin ang suspensyon ng puv modernization program ng pamahalaan.  panoorin ang iba pang balita: https://bit.ly/3suka06 #abanteteletabloid #newsph #tigilpasada #jeepneyphaseout #puvmodernization #ltfrb,,4,2,1,positive
Corisis Morgia,@morgia_corisis,2023-03-07T01:56:06.000Z,what if yung mga toxic na katrabaho ang ma phase out! #jeepneymodernization #jeepneymodernizationprogram #jeepneyphaseout,,,,0,neutral
JC,@Jcarlocabaltera,2023-03-06T19:40:54.000Z,andmi kong naririnig at nababasang mga comments about #jeepneyphaseout and lahat misinformed sila and sarili lang iniisip hayst #notojeepneyphaseout,,,,1,positive
dirch,@stompnoise,2023-03-06T18:57:27.000Z,"daming commuter nakikiisa sa mga jeepney drivers, mga driver na wala ngang pakialam kung ma late ka sa pupuntahan mo #jeepneyphaseout",,,,-1,negative
RAM,@ramlatoreno,2023-03-06T18:28:26.000Z,"masuko sa #jeepneyphaseout pero dili na musakay sa motor na hangad sa pagadian, kay mas nahan na ug bao2. paghilom oy.",,,,1,positive
dirch,@stompnoise,2023-03-06T17:04:18.000Z,the choice is do you want a comfortable public transport or culture? #jeepneyphaseout,,,,1,positive
Enrique Paulo Lingbanan Delos Santos,@JhongJimboyYu,2023-03-06T16:18:50.000Z,no jeepney phase out di na kayo naawa mga putang ina ninyo #jeepneyphaseout #jeepneymodernizationprogram #jeepneymodernization,,,1,0,neutral
eyyrizz,@gieofhugiko,2023-03-06T15:04:54.000Z,"i don't know what is the purpose of #jeepneyphaseout. we are in the philippines what are you expecting? hahhaha want to make anything hightech or more?? stop being selfish, not e not everyone living in this world is born with silverspoon with their mouths.",1.0,,,0,neutral
wesley,@ninidelulu,2023-03-06T15:04:42.000Z,hindi sa pang babash kay president bongbong marcos pero madami ang magugutom marami ang mawawalan ng sasakyan mahigirapan ang mga filipino pag tunuloy yang #jeepneyphaseout nayan marami ang mawawalan ng trabaho nasa position ka ngayon gawin mo ang kailangan mong gawin,,,,-1,negative
river,@ravearaki,2023-03-06T14:58:15.000Z,"habang busy ang lahat sa #jeepneyphaseout, ito pasado na ang chacha.",1.0,,1,0,neutral
Eden Rutaquio,@EdenRutaquio,2023-03-06T14:57:11.000Z,not humane! #jeepneyphaseout,,,,0,neutral
JINI,@jinigimenez,2023-03-06T13:38:55.000Z,ang ganda ganda ng jeep nating mga pinoy i pe phase out nyo lang? shame on you. mga taga ibang bansa nga tuwang tuwa to at tatak pinoy.look at our dcx jeep!  for our company outing ang ganda#jeepneymodernizationprogram  #jeeplife #jeepneyphaseout #jeep,1.0,,,1,positive
Hoang Nga,@HoaHoangNga,2023-03-06T13:29:12.000Z,hindi ba kaya ng tallano gold na i cover yung php2.5 million jeepney modernization? bekenemen pwedeng libre na para sa mga bumoto sa kanila??? oh baka naman kailangan mangyari tong modernization para me bagong kickback halaaaa  #jeepneyphaseout #jeepneymodernizationprogram,,,,2,positive
antonio_una,@tndnl_td,2023-03-06T13:25:45.000Z,"yun lang, sobrang klaro ng pangalang epal. di niyo pera yan. #metromanila #transportstrike #strike #jeepneymodernizationprogram #jeepneyphaseout #jeepney",,,,0,neutral
★★★★★,@mauel_ly,2023-03-06T13:19:07.000Z,tas nasasayangan ako na bumyahe siya ako lang pasahero pero ang bait ni kuya kaya kasi sabi niya sige na daw okay lang kahit anong amount okay na swear so far sa mga jeeps na nasakyan ko di ko talaga malilimutan si kuya kay no na no talaga sa #jeepneyphaseout,,,1,2,positive
Eirine⁷,@RMistica7,2023-03-06T13:17:40.000Z,some ya'll r literally dumb asf about the jeepney phase out it was declared a long time ago but none of them tried ni isa walang nag try kahit modernize lang man. kapag gusto maraming paraan kapag ayaw maraming dahilan.#jeepneyphaseout,1.0,,,2,positive
— ; DARK BLOOD,@hoontxlgia,2023-03-06T13:06:03.000Z,lol baka panakip sa #jeepneyphaseout,,,,0,neutral
Just_Random Thought,@JustInfinity14,2023-03-06T12:41:32.000Z,ang daming pwedeng maging epekto kapag nawala ang old jeepneys akala ko ba ang gusto nila ay mawala ang kahirapan pero bakit sila pa ang gumagawa ng sanhi ng kahirapan sa ating bansa. #jeepneyphaseout #jeepneymodernizationprogram #tigilpasada,,,,-3,negative
Juvs,@itsgonzalesjuvy,2023-03-06T12:15:28.000Z,"hindi po ako ""bumoboses lang"" as the youth of this country kaylangan maging boses pa rin tayo sa mga ganitong issues, kung ikaw wala kang pakialam ako meron. pero sa totoo lang jeep ang isa sa naging tatak ng mga turista sa ating bansa.#jeepneyphaseout",,,,-3,negative
Juvs,@itsgonzalesjuvy,2023-03-06T12:11:39.000Z,while im browsing on my social media puro #jeepneyphaseout ang nakikita ko and super sad nung may nakikita akong mga jeepney driver na kita sa mga mata nila yung pagod at lungkot and naiinis ako kase habang nahihirapan ang mga jeepney driver wala man lang ginagawa ang nasa taas.,,,,-5,negative
,@jolyancubero,2023-03-06T12:03:31.000Z,hayz tagaan unta nis gobyerno ug saktong programa ang #jeepneyphaseout oypz :((((((,,,3,0,neutral
zi,@xiziara,2023-03-06T11:59:38.000Z,replying to @jpgrobredo,,,1,0,neutral
vernotech,@vernotech,2023-03-06T11:45:02.000Z,ayaw sa #jeepneyphaseout pero nag sisisigaw ng cleaner air sa metro manila....tatanga nyo rin eh noh?,,,,-1,negative
BEBI,@c09157,2023-03-06T11:23:41.000Z,ang oa daw ng mga mga sharedpost ko about sa #jeepneyphaseout eh 2 lang yon. isa pa kung di ka affected. wala nakong pake! bboto ka ng tanga tas saken ka galet,,,,-1,negative
"Leo Jay D. Lumaras,RND",@leography_libra,2023-03-06T10:43:12.000Z,no to #jeepneyphaseout,,,2,0,neutral
republicasia,@republicasiadot,2023-03-06T10:29:31.000Z,protest in parts of paraaque city and caloocan city this morning. | #news #newsph #socialnewsph #republicasianews #republicasia  #jeepneyphaseout visit http://republicasiamedia.com for more! ryan baldemor | republicasia,,,,0,neutral
marquie,@marquiewinner,2023-03-06T09:44:38.000Z,no to #jeepneyphaseout ,,,,0,neutral
a,@rammified__,2023-03-06T09:35:48.000Z,i hope we can set up a #gofundmecampaign  para dun sa manong driver na may sticker ni leni sa lalagyan ng pera ng jeep nya para matulungan sya makaavail ng bagong jeep #jeepneyphaseout #angatbuhaylahat #lenikiko2022 #leniliwanagsadilim,,,,2,positive
lou ⟢,@louthenegatron,2023-03-06T09:32:36.000Z,"wala naman kase sanang problema sa #jeepneyphaseout kung pinondohan at pinlano ng maayos ng gobyerno. kaso, wala.. sa drivers pa mismo ang gastos na para bang milyon kinikita nila sa pasada. kaurat!",,,1,0,neutral
KC,@simplykchere,2023-03-06T09:31:36.000Z,pinag laban namin kayo nung eleksyon pero pinili nyo pa din ang leader na walang plano sa inyo. sana malagpasan natin lahat ang problema na to. #jeepneyphaseout,,,,-3,negative
Lucasito,@bashgita,2023-03-06T08:57:09.000Z,"dami talagang pinoy na maraming time sa tsismis like issue ni liza but wala for issues that directly affect them like #jeepneyphaseout.we only have a limited time in a day, we only have limited energies. divert them to valuable issues.",,2,20,-1,negative
MICHY,@mitchdelena,2023-03-06T06:50:55.000Z,no to #jeepneyphaseout,,,,0,neutral
Jonathan Castillo,@tatancast,2023-03-06T06:37:43.000Z,"magkaiba ang #jeepneyphaseout sa #jeepneymodernization.hayan na, pinaghahalo na naman ang balat sa tinalupan. ",,,1,0,neutral
Dann General-Seterra,@ohohdann,2023-03-06T06:13:02.000Z,no to #jeepneyphaseout daw e never ka naman sumakay sa jeep dahil may sasakyan ka! emedora maka-ride lang sa issue! haha!#yestobbmsaraphaseout pwede pa! hahaha!,,,1,-1,negative
Nathaniel,@bolus_nathaniel,2023-03-06T06:03:07.000Z,no to phase out #jeepneyphaseout,,,,0,neutral
@pauloinmanila and 99 others,@pauloinmanila and 99 others,2023-03-06T06:02:10.000Z,"so far, tahimik ang mendiola ngayon, pero maraming pulis.#notojeepneyphaseout #jeepneyphaseout",,,11,2,positive
republicasia,@republicasiadot,2023-03-06T05:49:14.000Z,on jeepney phase out? | #news #newsph #socialnewsph #republicasianews #republicasia #jeepneyphaseout #jeepneymodernization visit http://republicasiamedia.com for more!,,,,0,neutral
My Fabelous World,@FabeTony,2023-03-06T05:48:59.000Z,"kami nga, we think twice whether to buy a new car or not kahit 0% downpayment kasi mabigat nga ang monthly amortization nya, e yung jeepney driver pa kaya na 2 million agad ang isang minibus!  parang nagtrabaho ka lang para sa bangko!#jeepneyphaseout #supporttransportstrike",,,,3,positive
reyreygoaway,@reyreygoaway,2023-03-06T05:18:35.000Z,"#jeepneyphaseout""wag sana i phase out yung mga jeep, isa yan sa mga dinadayo ng mga foreigners sa pilipinas""yung foreigner na first time sumakay ng jeep:",,,1,0,neutral
reyreygoaway,@reyreygoaway,2023-03-06T05:17:56.000Z,"#jeepneyphaseout ""wag sana i phase out yung mga jeep, part na po ito ng ating culture""yung culture:",,3,,0,neutral
@pauloinmanila and 99 others,@pauloinmanila and 99 others,2023-03-06T05:16:02.000Z,pag uusapan palang pala nila ang pag #jeepneyphaseout #notojeepneyphaseout chonayu1,1.0,2,6,-1,negative
Yohan,@DollieYoyie,2023-03-06T05:11:50.000Z,replying to @joseph_morong and @gmanews,,,,0,neutral
Juls_ELFCARAT,@julie24_hyukjae,2023-03-06T05:00:58.000Z,"nakakadurog ng puso! remember they are not against the modernization, ang pinoproblema nila is yung ipapalit na unit. jusko 2.4 million ang halaga saan mo papakuhanin ang mga driver nun.  jusko nasaan ang puso? #tigilpasada #jeepneyphaseout",,,3,0,neutral
Ruben Carranza,@RCarranza_,2023-03-06T04:11:29.000Z,a reminder for the #jeepneyphaseout strike by drivers of the mode of public transportation working class filipinos use the most: his 2014 statement of assets shows that @bongbongmarcos owns at least 10 cars and luxury suvs.,9.0,48,144,1,positive
BULGAR,@bulgarofficial,2023-03-06T04:05:09.000Z,karamihan sa mga transport group ay nagpahayag ng kanilang pagtutol sa planong isang linggong transport group strike ng manibela sa metro manila simula ngayong araw.#tigilpasada #jeepneyphaseout #puv #bulgaronline #bulgarnews,,,,-2,negative
Pamy,@PamVeeeeeee,2023-03-06T03:49:25.000Z,"kung si @lenirobredo naging president, papakinggan n’ya kayo at di kayo tatawaging communist.#jeepneyphaseout #transportstrike",,,3,0,neutral
tasha,@pppowfu,2023-03-06T03:45:20.000Z,lets talk abt #notojeepphaseout #stopwillow #stopdrinkingalcohol #loveislandaftersun #jeepneyphaseout #jeepneyphaseoutibasura,,,,0,neutral
,@MyKey_10_07,2023-03-06T03:44:42.000Z,eh ano naman kasi aasahan mo sa ang ultimate goal was to only win the last election by hook or by 31m crooks and the rest bahala na si antman?#jeepneyphaseout,,,11,1,positive
Shadilou,@Snapshadilou,2023-03-06T03:41:50.000Z,"with this whole jeepney phasout thing. why can't the govt first shoulder the cost, tapos a percentage of the operaters owners goes to payback the govt then when they're fully paid bahala na? why do the people suffer cause the govt doesnt think? #jeepneyphaseout",,,,1,positive
zzzzz,@OrencilloA,2023-03-06T03:39:58.000Z,sana naisip po nasa taas ung welfare na ma aapektuhan na tao!  nakakalungkot lang nangyari#jeepneyphaseout,,,,0,neutral
Amara,@SarahCrewe,2023-03-06T03:31:59.000Z,teacher ako sara. ramdam ko ang hirap ng mga guro at mga bata. pero mas ramdam ko ang hirap ng mga jeepney driver! ikaw ang hindi makakuha sa point nila! ikaw ang hindi makaintindi!#jeepneyphaseout #transportstrike #notopuvphaseout #notojeepphaseout #notojeepneyphaseout,,,2,-3,negative
Jomarie Sauquillo,@ItsMeGrayKnight,2023-03-06T03:08:28.000Z,ano pa ba ang aasahan natin sa mga inutil na pulis? mga kasangkapan ng korapsyon at kasamaan ang mga yan. #notojeepneyphaseout#jeepneyphaseout,,5,3,-1,negative
Jason del Rosario,@fauxillustrado,2023-03-06T03:00:53.000Z,"medyo nakakaurat yung tungkol sa #jeepneyphaseout yung tigil pasada, pero laging binabalik ng iba diyan sa mga politikong “sinayang natin”",,,1,3,positive
HighPower,@highpower2016,2023-03-06T02:50:41.000Z,salamat sa lahat ng jeepney drivers! mabuhay po kayo. lalaban tayo  para sa mga jeepney drivers | isang jeep dance cover- https://fb.watch/j5300ojcml/#notojeepneyphaseout #notopuvphaseout #jeepneyphaseout #jeepneystrike #jeepneyphaseoutibasura #jeep #highpower2016,,,,1,positive
