Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,,,
El,@elmeisterr,2017-10-17T00:19:33.000Z,15 minutes sprint from Makati to Pasay. #walangPasok  didn't see any stranded commuters also... #JeepneyPhaseOut ?,,,,,,
JMoonknight,@JSMoonKnight,2017-10-16T23:56:52.000Z,2 days of transport strike. Please reflect on what have achieved in doing this one your protests are over. #JeepneyPhaseOut,,,,,,
Jun Ledda,@asar529,2017-10-16T20:53:09.000Z,"Maintaning present status is moving backward.
#JeepneyPhaseOut",,1,1,,,
ad,@allduine,2017-10-16T15:29:48.000Z,"My father is a jeepney driver and I'm proud of it.  
Support #TransportStrike
No to #jeepneyphaseout https://twitter.com/fatimabadong/status/919737462712233985…",,,,,,
Ian M. #DEFUNDTHEPOLICE,@naiveity,2017-10-16T15:27:56.000Z,"puta please, tigil niyo na yung #JeepneyPhaseOut, wag niyo biglain.",,,4,,,
,@DKdairyking,2017-10-16T15:16:38.000Z,Tangina daming tanga sa facebook tungkol sa #JeepneyPhaseout puta kalmahin nyo ko ayoko mangaway,2,,4,,,
Ian M. #DEFUNDTHEPOLICE,@naiveity,2017-10-16T13:10:43.000Z,"also, ano palang stand ng #ESC? at ng #ARISE at #PRIME sa nangyayaring #JeepneyPhaseout",1,,4,,,
Esquire Philippines,@EsquirePH,2017-10-16T07:46:12.000Z,"Commuters of the Philippines, do you agree with the #JeepneyPhaseout? #TransportStrike",,7,8,,,
Cindy,@cynmartman,2017-10-16T07:27:56.000Z,"#jeepneyphaseout
jeep pa rin. mas mura. kung gusto ko ipapalit sa jeepneys ay may uv express naman or taxi",,,,,,
kevin martin,@itskevineleven,2017-10-16T04:45:47.000Z,Yes to #Jeepneyphaseout and PUVMP pero sana isubsidize na lang ng govt yung mga pamalit na PUVs kasi taumbayan lang din naman makikinabang dyan. Bakit kailangan pagkakitaan pa ng private companies. Golden age of infra diba? Di naman nalalayo ang transpo dyan pag-investan niyo yan,1,1,9,,,
Moon,@moondanipog,2017-10-16T02:39:48.000Z,#TransportStrike Can someone enlighten me on the main goal of jeepney modernization? It is to ease traffic? Beat pollution? #jeepneyphaseout,7,,,,,
Adel,@Eydeleidi,2017-10-16T01:16:19.000Z,"Who loses, who gains from jeepney phase out? #TransportStrike  #jeepney #jeepneyphaseout",,,,,,
Edge Nagaicneg,@edge_genciagan,2017-10-15T23:36:45.000Z,Support #TransportStrike No to #jeepneyphaseout,1,28,40,,,
SunStar Pampanga,@SunStarPampanga,2017-10-14T05:42:03.000Z,"Jeepney transport groups all over Pampanga set a mass strike on Oct 16, 17 #JeepneyPhaseOut #Stike",,,2,,,
Robert Roque Jr.,@Side_View,2017-03-07T11:46:52.000Z,"Kapit sa patalim
#LTFRB #JeepneyPhaseout 
http://hatawtabloid.com/2017/03/07/kapit-sa-patalim/…

MARAMING... http://fb.me/NZp5nADi",,,,,,
katrinastuartsantiago,@radikalchick,2017-03-02T08:07:43.000Z,"Replying to 
@phillawuniverse",,1,,,,
lady ann salem,@ladyannsalem,2017-02-27T10:38:32.000Z,Uber infamous tweet sends understanding on transport strike's way. #DeleteUber #JeepneyPhaseout,1,,,,,
Haynon,@mePAYTOT,2017-02-27T01:44:28.000Z,"Infairness diri cebu! Way uso ang transport strike. Kakain dn mga pamilya nla besh ,#change #jeepneyphaseout",,,,,,
Manila Today,@manila_today,2017-02-27T01:40:05.000Z,Cubao-Vito Cruz jeepney routes joined today's #TransportStrike to call vs #JeepneyPhaseOut,,24,32,,,
Pamalakaya Pilipinas,@pama_pil,2017-02-26T22:58:14.000Z,"#JeepneyPhaseout is no modernization but privatization in disguise.

Support nationwide #TigilPasada",,18,15,,,
Vachi,@vachiraphuaklek,2017-02-26T22:06:34.000Z,"Tama lang phase out sobrang polluted na metro Manila.
#JeepneyPhaseout",,,,,,
Mhiman Orbista,@MhimanOrbista,2017-02-26T21:10:01.000Z,I know maraming pwede mawalan ng trabaho pero mas prone kasi sa accident ang lumang jeeps db? #JeepneyPhaseout,,,1,,,
Subic Bay News,@subicbaynewsnet,2017-02-26T15:05:06.000Z,"No transport strike in Olongapo City...
#JeepneyPhaseOut http://fb.me/4rXXp4sJP",,3,3,,,
Raimond Dasalla,@Raimond_Dasalla,2017-02-26T01:57:51.000Z,"#jeepneyphaseout is not phase out per se, but rather it is a modernisation of jeepneys; want this country to move forward? Have an open mind",,,1,,,
Ma'amSyj,@MaamSyj,2017-02-06T13:18:56.000Z,Pero #jeepneyphaseout ang dahilan ng strike. #malinaw,,1,1,,,
Genshin Gamer,@cezzyphink,2016-01-04T13:59:02.000Z,Gusto natin ng improvement pero ayaw naman natin tanggapin na may mga kailangan ng bitawan.. #JeepneyPhaseout,,1,2,,,
Jed Doctor,@jedmd,2015-12-07T01:15:06.000Z,Yung halos wala nang jeep na masakyan pero traffic pa rin sa bicutan. #transpostrike #jeepneyphaseout,,,,,,
HighPower,@highpower2016,2023-03-05T23:01:55.000Z,"No to jeepney phase out!!! 

Jeepney is not only a public transport, but it has been a trademark to our country. Jeepneys are a part of our culture now. 

We fight and we stand no to the jeepney phase out. 

#NoToJeepneyPhaseout #IsangJeep #PinoyJeep #JeepneyPhaseOut",,6,13,,,
Renee Karunungan Edwards,@rjkarunungan,2023-03-03T00:09:32.000Z,Support the jeepney drivers as they fight for their livelihood. #jeepneyphaseout,1,56,588,,,
The Diliman Files,@thelugawfiles,2018-02-15T00:54:23.000Z,True ba na may memo sa profs na 'wag muna mag-attendance sa morning classes because of the #JeepneyPhaseout issue?,,,10,,,
вrndngrn #𝔖𝔬𝔠𝔦𝔞𝔩𝔇𝔦𝔰𝔱𝔞𝔫𝔠𝔦𝔫𝔤,@brndngrn,2020-04-17T10:55:49.000Z,AWARD: #GracePoe knows a lot about failing even the minimum standard of leadership. Nakatatlong strike na sya. #EDSATraffic #JeepneyPhaseout #YesToABSCBNShutdown,2,9,18,,,
Edge Nagaicneg,@edge_genciagan,2017-10-15T23:36:45.000Z,Support #TransportStrike No to #jeepneyphaseout,1,28,40,,,
jadi (taylor's version)¹6ⁿⁿ,@sageparadisea,2023-03-25T10:26:46.000Z,This is one of many why should we say no to #jeepneyphaseout,,,2,,,
Zion Ryan Cruz,@zryanverse,2023-03-06T00:40:29.000Z,"Mahirap kasi ayaw nila intindihin. 

It’s their way or the highway. Absolute. Not a democracy. No middle ground. No looking at alternatives. No consensus. 

#jeepneyphaseout #jeepneystrike",2,1,11,,,
Alli |,@Jelo_twt,2023-03-03T04:49:55.000Z,Blaming the victims of this #JeepneyPhaseOut will not help the situation. You’re only putting salt in the wound. Use your platform to call out the government and fulfill its purpose to serve the Filipino people.,,1,9,,,
A Balancing Bipolar,@peachybrets,2023-03-06T04:38:10.000Z,Ride at your own risk  #Freeride #librengsakay #jeepneyphaseout #jeepneystrike,,,2,,,
Jasmin ᵕ̈,@kfinew,2023-03-06T22:25:46.000Z,"Some thoughts on the #jeepneymodernization #jeepneyphaseout in PH

PH transport situation is complex. Having a multiplicity of vehicle ownership arrangement, wider diversity of vehicle types, speeds and street-uses, communist-infiltritated transport groups increases policy…",,1,9,,,
,@MyKey_10_07,2023-03-06T03:44:42.000Z,"Eh ano naman kasi aasahan mo sa ang ultimate goal was to only win the last election by hook or by 31M crooks and the rest bahala na si Antman?
#jeepneyphaseout",,,11,,,
Empress K,@EmpressKxxx,2023-03-03T10:21:12.000Z,"Oplan: Libreng Sakay of City of Manila on Monday, March 6

: Manila Public Information Office / Facebook

#JeepneyPhaseOut",,2,5,,,
Event Horizon bitchhh (3am Edition),@IzahFeeling,2023-03-07T12:46:35.000Z,"It would have been a great sight to see, if these same toxic Christians cried during the #JeepneyPhaseOut",,,,,,
Kenn,@thekenncruz,2023-03-09T13:01:28.000Z,"We rarely get the chance to be the news on such platforms, and when we do, it has to be bad news 
#PilipinasAngSakitMongMahalin
#jeepneyphaseout 
#NoMoreFunInThePhilippines",,,1,,,
Piglin Brute,@spamSTP,2018-10-27T17:10:09.000Z,A spectre is haunting jeepney passengers — the spectre of communism #presyoibaba #jeepneyphaseout,,1,,,,
Elysse Natividad,@elesiiiiiiiiiii,2017-10-17T10:50:57.000Z,"I wonder how all those jeepney drivers that voted for him feel now
#JeepneyPhaseOut",,,,,,
ad,@allduine,2017-10-16T15:29:48.000Z,"My father is a jeepney driver and I'm proud of it.  
Support #TransportStrike
No to #jeepneyphaseout https://twitter.com/fatimabadong/status/919737462712233985…",,,,,,
Kiks Balayon,@itazra,2023-03-06T07:02:05.000Z,This #jeepneyphaseout issue is a litmus test if PH Society is ready to move forward. Unfortunately we are still backwards. Not surprised at all.,,1,1,,,
Shadilou,@Snapshadilou,2023-03-06T03:41:50.000Z,"With this whole Jeepney phasout thing. Why can't the govt first shoulder the cost, tapos a percentage of the operaters owners goes to payback the govt then when they're fully paid bahala na? why do the people suffer cause the govt doesnt think? #jeepneyphaseout",,,,,,
SNIPPETMEDIA,@snippetmedia,2019-09-30T02:36:33.000Z,"Do you agree with the government's #JeepneyPhaseout plan? 

https://bit.ly/2meI8qq",,,,,,
śtōrm,@stor_mee,2023-03-08T15:14:48.000Z,"I AGREE with the #jeepneyphaseout but with conditions that benefit the environment, safety of commuters, livelihood of drivers, and traditional imagery of the jeepney.",1,,3,,,
Patrick,@patrickleonardr,2023-03-05T07:18:07.000Z,"What tf were they doing since 2017? Did the jeepney groups plan this out?  raise capital, get investors, etc? I’d like to see their 5-year strat plan leading up to the 2023 phaseout deadline… they act like school kids ranting over their homework come morning #jeepneyphaseout",,,1,,,
SimpleRule,@greenandleafyme,2023-03-12T23:46:51.000Z,"What should we do if we can't change the ugly look of our roads because our government is incapable of putting policies into action?

#jeepneyphaseout",,,,,,
SunStar Pampanga,@SunStarPampanga,2017-10-14T05:42:03.000Z,"Jeepney transport groups all over Pampanga set a mass strike on Oct 16, 17 #JeepneyPhaseOut #Stike",,,2,,,
JMoonknight,@JSMoonKnight,2017-10-16T23:56:52.000Z,2 days of transport strike. Please reflect on what have achieved in doing this one your protests are over. #JeepneyPhaseOut,,,,,,
Jomarie Sauquillo,@ItsMeGrayKnight,2023-03-02T16:13:00.000Z,"(1) Regarding the issue of #jeepneyphaseout, LTFRB must maintain the original design of our classic Jeepneys and incorporate the upgrades like cctv, digital money like beep, gcash etc. for E-Jeep 

it is feasible. the problem is they're teaming up with",1,,1,,,
Ej Sabado,@SoEJSabado,2017-10-17T21:13:36.000Z,There are many transport groups who support the jeepney modernization program #JeepneyPhaseOut,,,,,,
Nicky Murillo,@NlCKYM,2017-10-17T17:16:30.000Z,Ang pagiging sagabal sa daan ay hindi talent but you guys make it seem like it is.  #JeepneyPhaseOut #jeepneystrike,,,3,,,
Kristo,@marcboni,2023-03-07T10:47:02.000Z,China moved from bicycles to Electric Vehicles; Philippines is stuck with heavy diesel jeeps that are unsafe and that cause cancer #jeepneyphaseout,,,,,,
RyZa,@htebazyr,2023-03-06T02:10:33.000Z,My students can relate well sa jeepney modernization issue today because of one article that I let them read and create a position paper about it. #jeepneyphaseout what’s your position?,,,,,,
Subic Bay News,@subicbaynewsnet,2017-02-26T15:05:06.000Z,"No transport strike in Olongapo City...
#JeepneyPhaseOut http://fb.me/4rXXp4sJP",,3,3,,,
Raimond Dasalla,@Raimond_Dasalla,2017-02-26T01:57:51.000Z,"#jeepneyphaseout is not phase out per se, but rather it is a modernisation of jeepneys; want this country to move forward? Have an open mind",,,1,,,
Trendrod,@TrendrodPH,2023-03-05T09:32:52.000Z,"WALANG CODING.

The MMDA suspends the implementation of the number coding scheme on Monday, March 6, 2023. This, as participating PUJs hold a strike starting tomorrow vs. the planned phaseout of traditional jeepeneys by the end of this year.

#JeepneyPhaseout",,1,,,,
Merlie,@merlie66,2018-03-20T16:23:49.000Z,"This jeepney phaseout, why not make it optional, then let’s see who gets the most passengers on the road, who want’s to ride dilapidated ones when there’s a better option? #jeepneyphaseout",,,1,,,
PhilNews,@PhilNews247,2018-06-23T07:53:31.000Z,"#TransportStrike #Strike #JeepneyPhaseOut #June25 #WalangPasok
#WalangPasok: Class Suspensions On Monday (June 25)
https://philnews.ph/2018/06/23/walangpasok-class-suspensions-monday-june-25/…",,,,,,
Ej Sabado,@SoEJSabado,2017-10-17T21:15:35.000Z,"FEJODAP, ACTO, LTOP, Pasang Masda and ALTODAP ...these are the transport groups who support the modernization program #JeepneyPhaseOut",,,,,,
Tough Love,@toughlove48,2023-03-07T01:22:45.000Z,"This is similar to #jeepneyphaseout - change in the name of #ClimateScam. Btw this is NOT a BBM thing - all 5 major presidentiables are Leftist Globalists - WEF puppets.

We need Filipino Conservatives / Traditionalists to step up next Elections or we go Sri Lankan.
@Bro_Eddie",,,,,,
Paglikha Project,@paglikhaproject,2020-07-22T08:00:23.000Z,"The government’s push for the modernization of jeepneys, the most popular mode of public transportation in the Philippines, seems like a good idea at first. #artph #jeepneyphaseout
(1/4)",1,11,12,,,
Ang Bayan,@AngBayan_1969,2023-06-12T11:39:44.000Z,"Inilunsad ng transport sector ang isang Transport Summit noong Hunyo 10 para pagbuklurin ang mga tsuper, maliliit na opereytor, at mga pasahero laban sa banta ng #JeepneyPhaseout at para palakasin ang panawagan ng sambayanan sa pangmasang transportasyon.
https://philippinerevolution.nu/angbayan/transport-summit-idinaos-ng-mga-tsuper-at-opereytor/…",1,4,5,,,
Paglikha Project,@paglikhaproject,2020-07-23T08:00:15.000Z,"Whether you’re affected by the jeepney phaseout or not, it’s important to know how and why this issue is so important to all of us. It’s more than just money, it’s the livelihoods of real people and is part of our cultural identity. #artph #jeepneyphaseout (1/4)",1,7,18,,,
Tough Love,@toughlove48,2023-03-09T01:06:22.000Z,"#jeepneyphaseout is the perfect time to NOT issue permits to prospective owners without their own garage. My tax paid for these sidewalks so that I can walk on them - not to avoid parked vehicles. 
@bongbongmarcos",,,,,,
lol,@lolyoushort,2023-03-06T07:16:28.000Z,"What’s the point of the #jeepneyphaseout when we’re just replacing them with buses? They’re buses idc what you say.

Question we should all be asking is WHO got paid for this. Because I can guarantee you that some lowlife politician benefited from this.",,,,,,
Paula Saraza,@PaulaSaraza_,2023-03-09T15:23:11.000Z,"“There might be a tendency, they’ll double the fare”

FilCans share thoughts about the #jeepneyphaseout in  - although in favour of modernizing the traditional PUVs, some say there needs to be a proper consultation with transport groups and commuters/passengers. 
@OMNIFilipino",1,2,2,,,
𝕄𝕠𝕕𝕖𝕝𝕝𝕠 𝕕𝕚 ℍ𝕠𝕣𝕟ℙ𝕦𝕓 ,@dariophoto69,2018-03-19T04:03:41.000Z,"As a foreigner I say... in Thailand Tuktuk were smokey, dirty and dangerous for people's health, same as the jeepneys are here.
They simply updated 'em all to lower the pollution.
Drivers are assholes as before. 
Even electric won't change that!


#JeepneyPhaseout is needed",,2,2,,,
Roy D. #MentalHealthPH,@rdahildahil_,2020-06-09T05:01:46.000Z,"Replying to 
@lendmeyourhands",3,,,,,
lady ann salem,@ladyannsalem,2017-02-27T10:38:32.000Z,Uber infamous tweet sends understanding on transport strike's way. #DeleteUber #JeepneyPhaseout,1,,,,,
katrinastuartsantiago,@radikalchick,2017-03-02T08:07:43.000Z,"Replying to 
@phillawuniverse",,1,,,,
Ysla Carmen,@YslaCarmen,2023-03-02T12:50:46.000Z,"Angeles City Leader posted this in line with the Jeepney Nationwide Strike
#JeepneyNationwideStrike #jeepneyphaseout",,,,,,
Team_PIA,@OfficialSenPia,2023-02-28T14:25:54.000Z,"Sen 
@piacayetano
: the #jeepneyphaseout program runs counter to PH's commitment to fulfill several #SDGs including: SDG 1 (No Poverty), SDG 8 (Decent Work and Sustainable Growth); & SDG 11 (Sustainable Cities & Communities). #WATCH https://fb.watch/iZNY3kjWsf/",,1,1,,,
DOST PCIEERD,@dostpcieerd,2023-03-09T23:43:51.000Z,"Through electric jeepney and LPG-powered jeepney, DOST-PCIEERD offers alternatives for PUV modernization. Read more at https://pcieerd.dost.gov.ph/news/latest-news/513-dost-touts-e-jeep-lpg-powered-jeeps-for-puj-modernization… 

#pujmodernization #jeepneyphaseout #ejeep #innovation",,,,,,
rai ✩,@b1aobei,2023-03-04T06:53:52.000Z,"hiii! how is everyone? 

꒰collecting responses for school purposes꒱
what are your insights on the #jeepneyphaseout and the tigil pasada movement?",,,1,,,
The Road King,@TheRoadKingG1,2023-03-17T14:02:14.000Z,"We are a team of multimedia art students making the most out of our blog activity in Writing For New Media by using it as a means to discuss a relevant topic among us Filipinos: the aforementioned Jeepney Phaseout.
#jeepneyphaseout 
#forschoolpurposes",,,,,,
Chiridikongkoylak,@hackdugbans,2023-03-11T14:40:07.000Z,"the irony of pinoys: atat sa improvement pero galit sa proseso. do not put forward any propositions like jeepney modernization again. we are allergic to long-term solutions as it coexist with inconvenience. ganto na lang po ang PH, wag na baguhin. 
#jeepneyphaseout",3,1,1,,,
eyyrizz,@gieofhugiko,2023-03-06T15:04:54.000Z,"I don't know what is the purpose of #jeepneyphaseout. We are in the PHILIPPINES what are you expecting? hahhaha want to make anything hightech or more?? stop being selfish, not e not everyone living in this world is born with silverspoon with their mouths.",1,,,,,
Megan Rowling,@meganrowling,2023-03-01T17:21:52.000Z,"#Philippines trade unions say the #jeepneyphaseout programme will result in ""wholesale disenfranchisement"" of small operators and is a form of state violence toward informal passenger #transport workers who live a hand-to-mouth existence #JustTransition | 
@MariejoRamosINQ
 reports",,2,3,,,
Interaksyon,@interaksyon,2019-10-04T03:38:45.000Z,We found that there is one issue jeepney drivers are concerned about that government has not often addressed in public. #transportstrike #jeepneyphaseout http://bit.ly/2AFqjo7,,4,4,,,
Miss Go,@miriamgracego,2023-03-06T00:13:15.000Z,"LIST: Schools shifting to online classes due to weeklong transport strike
https://rappler.com/nation/list-schools-shifting-online-classes-due-transport-strike-march-6-12-2023/… via 
@rapplerdotcom
 #JeepneyPhaseout",,,,,,
Updates PH,@NDFUpdatesPH,2023-03-14T16:23:02.000Z,"Transport unions Piston, Manibela and other jeepney operators’ and drivers’ orgs led about 100k drivers in major cities to protest the Marcos govt’s #JeepneyPhaseout Program which will replace jeepneys with the minibus that drivers can't possibly afford.",,1,4,,,
republicasia,@republicasiadot,2023-03-08T00:25:54.000Z,"Upon learning in 2017 that former president Rodrigo Duterte plans to pull out the aging jeepneys of the country, Efren began feeling anxious about his fate as a driver. | #JeepneyPhaseout #news #newsph #socialnewsph #republicasianews #republicasia",1,4,5,@AngBayan_1969,2023-06-12T11:39:44.000Z,"Inilunsad ng transport sector ang isang Transport Summit noong Hunyo 10 para pagbuklurin ang mga tsuper, maliliit na opereytor, at mga pasahero laban sa banta ng #JeepneyPhaseout at para palakasin ang panawagan ng sambayanan sa pangmasang transportasyon.
https://philippinerevolution.nu/angbayan/transport-summit-idinaos-ng-mga-tsuper-at-opereytor/…"
Mormon Benito,@mormonxbenito,2023-06-02T11:43:46.000Z,Parang gusto ko na mag #JeepneyPhaseout,,,,,,
CHANO,@iam_hischanz,2023-05-28T09:37:16.000Z,"It is almost 15-20 min.  since byaheng Naic to Trece sya and nakaupo lang ako ng maayos sa tapat ng SM Trece

Ayos po tayo sa byahe Naic to Trece terminal

Naging against din naman ako sa #JeepneyPhaseOut !!?",1,,,,,
girlwhohasnoname,@vaporub_viks,2023-05-26T02:02:19.000Z,"after this day, now I support #JeepneyPhaseout abay putanginang jip ko knina 30mins. na nagantay ng pasahero kahit puno na sya 

Nakakapika mga ganitong drayber tangina kayo",,,,,,
Gab,@gabpadiernos_,2023-04-19T15:45:52.000Z,"Replying to 
@zendileok",,,1,,,
Adriel Joseph Tilos,@TilosAdriel,2023-04-03T06:21:14.000Z,"(Performance-task sa Filipino)
PAKI BASA!!

https://docs.google.com/document/d/1RwpK7-yu0E3FKu0TT7uiAqozc6uEzBc8XBmRlBS5ua0/edit?usp=drivesdk…

#jeepneyphaseout 
#notojeepphaseout",,,,,,
Solace,@dreamincarts,2023-03-07T04:40:52.000Z,"I think I made a conclusions;
Joshua Tiongco 
KMJS 
Magnanakaw ng photocards  Gobyerno

Anyways,
NO TO #jeepneyphaseout ",,,5,,,
NOT'IVHAN,@notivhanyess,2023-03-07T04:39:15.000Z,:#NoToPUVPhaseout #jeepneyphaseout,1,,1,,,
Jasnoza,@Jasnoza,2023-03-07T03:48:18.000Z,"TAMA!!!  tama nga sinabi ni VP Sara ""communist-inspired"" #JeepneyModernization #jeepneyphaseout 
CTTO:",,,1,,,
BBM x SARA,@DuterteMarcos_,2023-03-07T03:29:53.000Z,#jeepneyphaseout #jeepneystrike,,,2,,,
Cannapinoy,@cannapinoy,2023-03-07T03:04:55.000Z,"#jeepneyphaseout must be done as soon as possible. These unsafe machines do not deserve to be on the road. Public transportation should be buses and trains, not these death on wheels. Itll be hard for filipinos to move on from jeepneys since it has been there forever.",,,,,,
gisellemae,@gsllmvllrnt,2023-03-07T02:34:30.000Z,i literally cried yesterday ‘bout the #jeepneyphaseout issue. ,,,,,,
K!M,@k_i_mnop,2023-03-07T02:33:01.000Z,"Jeep pala Yun, akala ko bus iniba lang ang mga upuan

#jeepneyphaseout 
#JeepneyModernization",,,,,,
Abante TeleTabloid,@ATeletabloid,2023-03-07T02:15:00.000Z,"Umarangkada rin kahapon ang pa-Libreng Sakay ng LGUs at mga ahensya ng gobyerno upang saklolohan ang commuters ngayong nag-umpisa na ang isang linggo tigil-pasada ng transport groups. 
 
Tutukan: https://bit.ly/3SUKA06
 
#NewsPH #JeepneyPhaseout #PUVModernization #LibrengSakay",,3,3,,,
Abante TeleTabloid,@ATeletabloid,2023-03-07T01:58:18.000Z,"Sinimulan na kahapon ang 1 linggong tigil-pasada ng transport groups na layunin ang suspensyon ng PUV Modernization program ng pamahalaan. 
 
Panoorin ang iba pang balita: https://bit.ly/3SUKA06
 
#AbanteTeletabloid #NewsPH #TigilPasada #JeepneyPhaseout #PUVModernization #LTFRB",,4,2,,,
Corisis Morgia,@morgia_corisis,2023-03-07T01:56:06.000Z,What if yung mga Toxic na katrabaho ang ma Phase Out! #JeepneyModernization #JeepneyModernizationProgram #jeepneyphaseout,,,,,,
Tough Love,@toughlove48,2023-03-07T01:22:45.000Z,"This is similar to #jeepneyphaseout - change in the name of #ClimateScam. Btw this is NOT a BBM thing - all 5 major presidentiables are Leftist Globalists - WEF puppets.

We need Filipino Conservatives / Traditionalists to step up next Elections or we go Sri Lankan.
@Bro_Eddie",,,,,,
Nelly Fortado,@jojo_neil,2023-03-07T00:39:49.000Z,"Replying to 
@ABSCBNNews
 and 
@jeffreyhernaez",,,,,,
RAM,@ramlatoreno,2023-03-06T18:28:26.000Z,"Masuko sa #jeepneyphaseout pero dili na musakay sa motor na hangad sa Pagadian, kay mas nahan na ug bao2. Paghilom oy.",,,,,,
dirch,@stompnoise,2023-03-06T17:04:18.000Z,The choice is do you want a comfortable public transport or culture? #jeepneyphaseout,,,,,,
Enrique Paulo Lingbanan Delos Santos,@JhongJimboyYu,2023-03-06T16:18:50.000Z,"No Jeepney Phase Out di na kayo naawa mga putang ina ninyo 
#jeepneyphaseout 
#JeepneyModernizationProgram 
#JeepneyModernization",,,1,,,
eyyrizz,@gieofhugiko,2023-03-06T15:04:54.000Z,"I don't know what is the purpose of #jeepneyphaseout. We are in the PHILIPPINES what are you expecting? hahhaha want to make anything hightech or more?? stop being selfish, not e not everyone living in this world is born with silverspoon with their mouths.",1,,,,,
wesley,@ninidelulu,2023-03-06T15:04:42.000Z,Hindi sa pang babash Kay president bongbong Marcos pero madami ang magugutom marami ang mawawalan ng sasakyan mahigirapan ang mga Filipino pag tunuloy yang #jeepneyphaseout nayan marami ang mawawalan ng trabaho nasa position ka ngayon gawin mo ang kailangan mong gawin,,,,,,
river,@ravearaki,2023-03-06T14:58:15.000Z,"habang busy ang lahat sa #jeepneyphaseout, ito pasado na ang chacha.",1,,1,,,
Eden Rutaquio,@EdenRutaquio,2023-03-06T14:57:11.000Z,Not humane! #jeepneyphaseout,,,,,,
JINI,@jinigimenez,2023-03-06T13:38:55.000Z,"Ang ganda ganda ng jeep nating mga pinoy i pe phase out nyo lang? Shame on you. Mga taga ibang bansa nga tuwang tuwa to at tatak pinoy.

Look at our DCX JEEP!  For our company outing Ang ganda

#JeepneyModernizationProgram  #jeeplife #jeepneyphaseout #jeep",1,,,,,
Hoang Nga,@HoaHoangNga,2023-03-06T13:29:12.000Z,Hindi ba kaya ng Tallano gold na I cover yung php2.5 million jeepney modernization? Bekenemen pwedeng libre na para sa mga bumoto sa kanila??? Oh baka naman kailangan mangyari tong modernization para me bagong kickback halaaaa  #jeepneyphaseout #JeepneyModernizationProgram,,,,,,
antonio_una,@tndnl_td,2023-03-06T13:25:45.000Z,"Yun lang, sobrang klaro ng pangalang epal. Di niyo pera yan. #metromanila #transportstrike #strike #JeepneyModernizationProgram #jeepneyphaseout #jeepney",,,,,,
★★★★★,@mauel_ly,2023-03-06T13:19:07.000Z,tas nasasayangan ako na bumyahe siya ako lang pasahero pero ang bait ni kuya kaya kasi sabi niya sige na daw okay lang kahit anong amount okay na swear so far sa mga jeeps na nasakyan ko di ko talaga malilimutan si kuya kay No na no talaga sa #jeepneyphaseout,,,1,,,
Eirine⁷,@RMistica7,2023-03-06T13:17:40.000Z,"Some ya'll r literally dumb asf about the jeepney phase out it was declared a long time ago but none of them tried ni isa walang nag try kahit modernize lang man. Kapag gusto maraming paraan kapag ayaw maraming dahilan.
#jeepneyphaseout",1,,,,,
Just_Random Thought,@JustInfinity14,2023-03-06T12:41:32.000Z,Ang daming pwedeng maging epekto kapag nawala ang old jeepneys akala ko ba ang gusto nila ay mawala ang kahirapan pero bakit sila pa ang gumagawa ng sanhi ng kahirapan sa ating bansa. #jeepneyphaseout #JeepneyModernizationProgram #TigilPasada,,,,,,
,@jolyancubero,2023-03-06T12:03:31.000Z,hayz tagaan unta nis gobyerno ug saktong programa ang #jeepneyphaseout oypz :((((((,,,3,,,
zi,@xiziara,2023-03-06T11:59:38.000Z,"Replying to 
@jpgrobredo",,,1,,,
vernotech,@vernotech,2023-03-06T11:45:02.000Z,Ayaw sa #jeepneyphaseout pero nag sisisigaw ng cleaner air sa Metro Manila....tatanga nyo rin eh noh?,,,,,,
BEBI,@c09157,2023-03-06T11:23:41.000Z,ang oa daw ng mga mga sharedpost ko about sa #jeepneyphaseout eh 2 lang yon. isa pa kung di ka affected. wala nakong pake! bboto ka ng tanga tas saken ka galet,,,,,,
"Leo Jay D. Lumaras,RND",@leography_libra,2023-03-06T10:43:12.000Z,No to #jeepneyphaseout,,,2,,,
republicasia,@republicasiadot,2023-03-06T10:29:31.000Z,"protest in parts of Paraaque City and Caloocan City this morning. | #news #newsph #socialnewsph #republicasianews #republicasia  #jeepneyphaseout 

Visit http://republicasiamedia.com for more!

 Ryan Baldemor | republicasia",,,,,,
marquie,@marquiewinner,2023-03-06T09:44:38.000Z,No to #jeepneyphaseout ,,,,,,
a,@rammified__,2023-03-06T09:35:48.000Z,I hope we can set up a #gofundmecampaign  para dun sa manong driver na may sticker ni Leni sa lalagyan ng pera ng jeep nya para matulungan sya makaavail ng bagong jeep #jeepneyphaseout #angatbuhaylahat #LeniKiko2022 #leniliwanagsadilim,,,,,,
Lucasito,@bashgita,2023-03-06T08:57:09.000Z,"Dami talagang Pinoy na maraming time sa tsismis like issue ni Liza but wala for issues that directly affect them like #jeepneyphaseout.

We only have a limited time in a day, we only have limited energies. Divert them to valuable issues.",,2,20,,,
KC,@simplykchere,2023-03-06T09:31:36.000Z,"Pinag laban namin kayo nung eleksyon pero pinili nyo pa din ang leader na walang plano sa inyo. 

Sana malagpasan natin lahat ang problema na to. 

#jeepneyphaseout",,,,,,
MICHY,@mitchdelena,2023-03-06T06:50:55.000Z,No to #jeepneyphaseout,,,,,,
